,prof_domain,type,speciality,industry_code,edu_group_code,speciality_id,edu_group,edu_group_id
108,Фармацевтика,ВПО,Специалист по сертификации,pharma,27,16,Управление в технических системах (ВПО),5
109,Фармацевтика,ВПО,Технолог,pharma,33,8,Фармация (ВПО),17
110,Фармацевтика,ВПО,Технолог,pharma,18,8,Химические технологии (ВПО),14
111,Фармацевтика,ВПО,Технолог,pharma,4,8,Химия (ВПО),18
112,Фармацевтика,ВПО,Технолог,pharma,6,8,Биологические науки (ВПО),19
113,Фармацевтика,ВПО,Инженер по качеству,pharma,27,17,Управление в технических системах (ВПО),5
114,Фармацевтика,ВПО,Исследователь,pharma,18,21,Химические технологии (ВПО),14
115,Фармацевтика,ВПО,Исследователь,pharma,4,21,Химия (ВПО),18
116,Фармацевтика,ВПО,Исследователь,pharma,6,21,Биологические науки (ВПО),19
117,Фармацевтика,ВПО,Исследователь,pharma,33,21,Фармация (ВПО),17
118,Электроника и микроэлектроника,СПО,Механик,electronics,11,18,"Электроника, радиотехника и системы связи (СПО)",20
119,Электроника и микроэлектроника,СПО,Монтажник,electronics,11,1,"Электроника, радиотехника и системы связи (СПО)",20
120,Электроника и микроэлектроника,СПО,Контролер ОТК,electronics,18,14,Химические технологии (СПО),12
121,Электроника и микроэлектроника,СПО,"Оператор, аппаратчик",electronics,11,0,"Электроника, радиотехника и системы связи (СПО)",20
122,Электроника и микроэлектроника,СПО,"Оператор, аппаратчик",electronics,15,0,Машиностроение (СПО),3
123,Электроника и микроэлектроника,СПО,Сварщик,electronics,15,11,Машиностроение (СПО),3
124,Электроника и микроэлектроника,СПО,Электромонтажник,electronics,11,22,"Электроника, радиотехника и системы связи (СПО)",20
125,Электроника и микроэлектроника,СПО,Разнорабочий,electronics,11,4,"Электроника, радиотехника и системы связи (СПО)",20
126,Электроника и микроэлектроника,ВПО,Инженер-конструктор,electronics,11,10,"Электроника, радиотехника и системы связи (ВПО)",21
127,Электроника и микроэлектроника,ВПО,Специалист по сертификации,electronics,27,16,Управление в технических системах (ВПО),5
128,Электроника и микроэлектроника,ВПО,Технолог,electronics,11,8,"Электроника, радиотехника и системы связи (ВПО)",21
129,Электроника и микроэлектроника,ВПО,Инженер по качеству,electronics,27,17,Управление в технических системах (ВПО),5
