,city,18,19,21,27,33,4,6,coordinates
272,Ковдор,,,83.0,,,,,"[30.474034, 67.562917]"
273,Ковров,,205.0,,848.0,285.0,,,"[41.310933, 56.362506]"
274,Ковылкино,,,162.0,,,,,"[43.91505, 54.0379]"
275,Когалым,47.0,,57.0,,,,,"[74.482761, 62.264069]"
276,Кожевниково,,25.0,,,,,,"[83.968862, 56.259493]"
277,Козловка,,59.0,,,,,,"[48.245136, 55.840386]"
278,Козловка,,59.0,,,,,,"[32.404604, 54.169706]"
279,Коленово,,24.0,,,,,,"[45.108156, 57.404768]"
280,Коломна,,102.0,,498.0,192.0,,,"[38.765556, 55.095956]"
281,Колпашево,,,69.0,,,,,"[82.902688, 58.311389]"
282,Колывань,,52.0,,,,,,"[82.738934, 55.30851]"
283,Комаричи,,33.0,,,,,,"[34.784097, 52.419009]"
284,Комсомольск-на-Амуре,1868.0,,1019.0,1435.0,,,,"[137.008685, 50.550055]"
285,Комсомольский,84.0,,,,,,,"[45.827967, 54.440497]"
286,Константиновск,,101.0,67.0,,,,,"[41.096694, 47.577341]"
287,Копейск,,,151.0,,,,,"[61.611574, 55.115697]"
288,Кораблино,,55.0,,,,,,"[40.034463, 53.926817]"
289,Коренево,,36.0,,,,,,"[34.893305, 51.409688]"
290,Кореновск,,243.0,,,,,,"[39.448033, 45.462742]"
291,Коркино,,102.0,,,,,,"[61.393049, 54.892493]"
292,Королев,,,422.0,,,,,"[37.815211, 55.918953]"
293,Королёв,,,,3054.0,,,,"[37.815211, 55.918953]"
294,Короча,,41.0,,,,,,"[37.196119, 50.811355]"
295,Костомукша,,,78.0,,,,,"[30.596637, 64.587358]"
296,Кострома,110.0,736.0,158.0,1029.0,358.0,1102.0,787.0,"[40.926894, 57.767918]"
297,Котельнич,,107.0,,,,,,"[48.346313, 58.305095]"
298,Котово,,,187.0,,,,,"[44.801328, 50.322064]"
299,Котовск,47.0,77.0,,,,,,"[41.50575, 52.59292]"
300,Кочубеевское,,108.0,,,,,,"[41.82423, 44.690728]"
301,Красная Поляна,,35.0,,,,,,"[51.147413, 56.241819]"
302,Красновишерск,,10.0,,,,,,"[57.083301, 60.412825]"
303,Красногорск,,,,,390.0,,,"[37.330399, 55.831003]"
