,city,11,15,18,27,coordinates
265,Камышлов,,94.0,,,"[62.707464, 56.843988]"
266,Канаш,,363.0,218.0,,"[47.491764, 55.506943]"
267,Кандалакша,,83.0,,,"[32.412832, 67.151256]"
268,Канск,139.0,221.0,170.0,,"[95.705064, 56.20505]"
269,Карабаш,,29.0,33.0,,"[60.203087, 55.488371]"
270,Каран,,46.0,,,"[55.917054, 52.926812]"
271,Карасук,,134.0,,,"[78.04936, 53.731934]"
272,Карачев,,310.0,87.0,,"[34.982805, 53.121594]"
273,Каргинская,,67.0,,,"[41.637632, 49.353477]"
274,Карпинск,,89.0,,,"[60.001074, 59.766633]"
275,Карсун,,53.0,,,"[46.980766, 54.200786]"
276,Карталы,,512.0,,,"[60.639462, 53.053308]"
277,Касимов,,166.0,100.0,,"[41.391368, 54.937288]"
278,Касли,,39.0,,,"[60.757411, 55.897337]"
279,Каспийск,,395.0,,,"[47.635665, 42.890853]"
280,Катав-Ивановск,,82.0,,,"[58.205836, 54.753513]"
281,Катайск,,40.0,,,"[62.58365, 56.283235]"
282,Кашира,,,,110.0,"[38.15154, 54.834589]"
283,Кемерово,581.0,6879.0,3232.0,2149.0,"[86.086847, 55.355198]"
284,Кемля,,69.0,,,"[45.244063, 54.695216]"
285,Керчь,,500.0,115.0,,"[36.467378, 45.356219]"
286,Кизел,,39.0,,,"[57.653875, 59.04943]"
287,Кизильское,,64.0,,,"[58.899641, 52.722801]"
288,Кизляр,97.0,276.0,,,"[46.710338, 43.850312]"
289,Ким,,81.0,,,"[54.612188, 53.897122]"
290,Кимры,,143.0,,61.0,"[37.358274, 56.872659]"
291,Кингисепп,,103.0,146.0,,"[28.601209, 59.378053]"
292,Кинешма,,89.0,68.0,,"[42.169525, 57.443126]"
293,Киржач,,82.0,,,"[38.871585, 56.161945]"
294,Кириши,,137.0,128.0,,"[32.008716, 59.449695]"
295,Киров,2303.0,7884.0,5369.0,4079.0,"[34.307999, 54.079614]"
296,Киров,2303.0,7884.0,5369.0,4079.0,"[49.668023, 58.603595]"
297,Кировград,,30.0,26.0,,"[60.062321, 57.431916]"
298,Кирово-Чепецк,,68.0,60.0,,"[50.043941, 58.556581]"
299,Кировск,,242.0,,,"[30.981457, 59.87533]"
300,Кировск,,242.0,,,"[33.668237, 67.61206]"
301,Кирс,,25.0,,,"[52.241516, 59.339991]"
302,Киселевск,,159.0,,,"[86.636688, 54.006025]"
303,Кисловодск,,139.0,,34.0,"[42.715718, 43.905518]"
304,Кичкасс,,65.0,,,"[54.407956, 52.31639]"
305,Клинцы,,121.0,,,"[32.233852, 52.753143]"
306,Княгинино,1037.0,,,,"[45.032249, 55.820566]"
307,Ковров,,3004.0,,848.0,"[41.310933, 56.362506]"
308,Ковылкино,69.0,68.0,,,"[43.91505, 54.0379]"
309,Когалым,,61.0,47.0,,"[74.482761, 62.264069]"
310,Кодинск,,51.0,,,"[99.179712, 58.603412]"
311,Кожевниково,,27.0,,,"[83.968862, 56.259493]"
312,Козулька,,33.0,,,"[91.391983, 56.165469]"
313,Козьмодемьянск,67.0,,,,"[46.547222, 56.332631]"
314,Коломна,,998.0,,498.0,"[38.765556, 55.095956]"
315,Колышлей,,44.0,,,"[44.530944, 52.697617]"
