,city,5,21,coordinates
345,Тобольск,139.0,,"[68.253995, 58.200891]"
346,Тогучин,,35.0,"[84.402874, 55.238018]"
347,Тольятти,38.0,19.0,"[49.420411, 53.507852]"
348,Томск,11214.0,4131.0,"[84.947649, 56.484645]"
349,Тоора-Хем,,68.0,"[96.114651, 52.463513]"
350,Троицк,199.0,,"[61.559004, 54.082757]"
351,Трубчевск,,25.0,"[33.766082, 52.579083]"
352,Трусово,,14.0,"[47.952645, 46.346121]"
353,Туапсе,912.0,37.0,"[39.073382, 44.095245]"
354,Тула,,3164.0,"[37.617348, 54.193122]"
355,Тюмень,6569.0,5288.0,"[65.541227, 57.152985]"
356,Уварово,,68.0,"[42.261009, 51.983105]"
357,Улан-Удэ,2364.0,3558.0,"[107.584547, 51.834809]"
358,Ульяновск,282.0,4403.0,"[48.403132, 54.314192]"
359,Урай,,94.0,"[64.803225, 60.128955]"
360,Урюпинск,,50.0,"[41.995593, 50.79451]"
361,Усинск,,1147.0,"[57.55701, 65.994148]"
362,Усмань,,101.0,"[39.736069, 52.043386]"
363,Уссурийск,,791.0,"[131.952122, 43.797247]"
364,Усть-Кинельский,,30.0,"[50.56791, 53.265768]"
365,Усть-Лабинск,,91.0,"[39.691225, 45.213657]"
366,Уфа,8907.0,11322.0,"[55.958736, 54.735152]"
367,Ухта,1034.0,9842.0,"[53.663999, 63.566006]"
368,Учалы,,150.0,"[59.379152, 54.316497]"
369,Фролово,,161.0,"[43.649185, 49.765605]"
370,Хабаровск,641.0,4196.0,"[135.071917, 48.480229]"
371,Хандыга,,134.0,"[135.563053, 62.653533]"
372,Ханты-Мансийск,1668.0,5192.0,"[69.046866, 61.035726]"
373,Ханты-Мансийск,1668.0,5192.0,"[69.018911, 61.003184]"
374,Харабали,,13.0,"[47.249713, 47.40307]"
375,Чайковский,,339.0,"[54.14881, 56.778081]"
376,Чебоксары,2193.0,1888.0,"[47.247728, 56.139918]"
377,Чегдомын,,41.0,"[133.035948, 51.133904]"
378,Челябинск,2662.0,2422.0,"[61.402554, 55.159902]"
379,Черемхово,,112.0,"[103.090096, 53.136917]"
380,Череповец,,310.0,"[37.90347, 59.122612]"
381,Черкесск,,135.0,"[42.048279, 44.228374]"
382,Черногорск,,157.0,"[91.306005, 53.827013]"
383,Чернушка,,209.0,"[56.07637, 56.516015]"
384,Чистополь,,98.0,"[50.643575, 55.372339]"
385,Чита,458.0,6513.0,"[113.501049, 52.033635]"
386,Шарыпово,,47.0,"[89.18016, 55.53909]"
387,Шарья,,68.0,"[45.518264, 58.369854]"
388,Шахтерск,,125.0,"[142.105133, 49.159794]"
389,Шахты,,859.0,"[40.215401, 47.709237]"
390,Шушенское,,110.0,"[91.935643, 53.333763]"
391,Элиста,,380.0,"[44.269759, 46.307743]"
392,Энгельс,,525.0,"[46.124052, 51.50105]"
393,Эркен-Шахар,,74.0,"[41.959382, 44.372464]"
394,Югорск,,95.0,"[63.331964, 61.314917]"
395,Южно-Сахалинск,1207.0,1187.0,"[142.729587, 46.957771]"
396,Юрга,,248.0,"[84.933878, 55.713557]"
397,Якутск,2087.0,10835.0,"[129.732178, 62.027221]"
398,Ярославль,1709.0,528.0,"[39.893813, 57.626559]"
