,city,8,15,26,27,coordinates
248,Железногорск-Илимский,58.0,56.0,,,"[104.114292, 56.584848]"
249,Жердевка,,83.0,,,"[41.469638, 51.844163]"
250,Жигулевск,51.0,43.0,,,"[49.494657, 53.40172]"
251,Жирнов,,69.0,,,"[41.124739, 48.17071]"
252,Жирновск,225.0,242.0,,,"[44.778843, 50.978718]"
253,Жуковка,40.0,47.0,,,"[33.732547, 53.533067]"
254,Заболотье,261.0,,,,"[37.673618, 55.450149]"
255,Заброды,74.0,,,,"[41.04328, 50.413472]"
256,Заволжье,,232.0,,,"[43.387164, 56.640441]"
257,Заинск,,94.0,,,"[52.000427, 55.283928]"
258,Закаменск,30.0,41.0,,,"[103.286764, 50.372602]"
259,Заречный,,193.0,,,"[45.169071, 53.196088]"
260,Заречный,,193.0,,,"[61.320349, 56.814966]"
261,Заринск,89.0,85.0,,,"[84.931488, 53.706337]"
262,Зверево,86.0,73.0,,,"[40.12301, 48.021693]"
263,Зеленогорск,81.0,78.0,,,"[94.588844, 56.113291]"
264,Зеленодольск,,692.0,260.0,,"[48.492802, 55.847048]"
265,Зерноград,190.0,,,,"[40.312824, 46.849564]"
266,Зима,,129.0,,,"[102.049065, 53.920725]"
267,Зимовники,,60.0,,,"[42.46772, 47.145376]"
268,Златоуст,992.0,873.0,,,"[59.672425, 55.173113]"
269,Зуевка,58.0,,,,"[51.133435, 58.403217]"
270,Зырянское,,50.0,,,"[86.625504, 56.829069]"
271,Зюкайка,13.0,,,,"[54.711722, 58.204913]"
272,Иваново,6734.0,3932.0,,4193.0,"[40.97393, 57.000353]"
273,Ивантеевка,,108.0,,,"[37.907414, 55.976201]"
274,Ивантеевка,,108.0,,,"[49.100323, 52.265172]"
275,Игарка,,22.0,,,"[86.567662, 67.46694]"
276,Иглино,,68.0,,,"[56.416176, 54.834496]"
277,Игрим,,78.0,,,"[64.421944, 63.196228]"
278,Ижевск,10457.0,8189.0,,2088.0,"[53.2069, 56.852676]"
279,Избербаш,156.0,,,,"[47.871087, 42.565148]"
280,Известковый,2.0,,,,"[131.547062, 48.987639]"
281,Ильинский,36.0,,,,"[55.683142, 58.572666]"
282,Инжавино,57.0,,,,"[42.4952, 52.318251]"
283,Инза,54.0,57.0,,,"[46.351649, 53.85704]"
284,Инсар,,19.0,,,"[44.372248, 53.866513]"
285,Инской,132.0,,,,"[86.42845, 54.433213]"
286,Инта,21.0,,,,"[60.115367, 66.036823]"
287,Ипатово,67.0,70.0,,,"[42.911156, 45.717425]"
288,Ирбит,52.0,137.0,,,"[63.054079, 57.68507]"
289,Иркутск,2911.0,8636.0,179.0,2841.0,"[104.280606, 52.289588]"
290,Ирша,,119.0,,,"[94.799841, 55.927644]"
291,Исилькуль,,59.0,,,"[71.262453, 54.913914]"
292,Искитим,158.0,135.0,,,"[83.306391, 54.642587]"
293,Истра,67.0,58.0,,,"[36.859017, 55.91466]"
294,Исянгулово,,27.0,,,"[56.573839, 52.192177]"
295,Ишим,156.0,139.0,,,"[69.457073, 56.109175]"
296,Ишимбай,,1838.0,,,"[56.04395, 53.454626]"
297,Йошкар-Ола,5083.0,4144.0,,2727.0,"[47.886178, 56.6316]"
298,Кавалерово,82.0,,,,"[135.057292, 44.267653]"
299,Кадом,,60.0,,,"[42.467244, 54.559078]"
300,Казанская,,41.0,,,"[41.137046, 49.794468]"
301,Казань,5194.0,16362.0,1121.0,16691.0,"[49.106414, 55.796127]"
302,Калачинск,,54.0,,,"[74.581782, 55.052613]"
303,Калининград,4427.0,2940.0,1393.0,,"[20.510137, 54.710162]"
304,Калиновка,,138.0,,,"[34.51118, 51.896474]"
305,Калиновка,,138.0,,,"[35.746525, 45.321463]"
306,Калиновская,76.0,68.0,,,"[45.521372, 43.574286]"
307,Калтан,10.0,37.0,,,"[87.27716, 53.521088]"
308,Калуга,877.0,5828.0,,3663.0,"[36.261224, 54.513845]"
309,Калязин,,95.0,,,"[37.828308, 57.241069]"
310,Камбарка,,75.0,,,"[54.193475, 56.266957]"
311,Каменка,,103.0,,92.0,"[44.046878, 53.185557]"
312,Каменск-Уральский,78.0,788.0,,127.0,"[61.917764, 56.41524]"
313,Каменск-Шахтинский,1299.0,937.0,,343.0,"[40.269534, 48.323133]"
314,Камень-на-Оби,,84.0,,,"[81.354558, 53.791492]"
315,Камызяк,,63.0,,,"[48.067548, 46.114432]"
316,Камышин,208.0,857.0,,,"[45.402166, 50.085287]"
317,Камышлов,139.0,94.0,,,"[62.707464, 56.843988]"
318,Канаш,367.0,363.0,,,"[47.491764, 55.506943]"
319,Кандалакша,65.0,83.0,,,"[32.412832, 67.151256]"
320,Канск,537.0,221.0,,,"[95.705064, 56.20505]"
321,Карабаш,,29.0,,,"[60.203087, 55.488371]"
322,Каран,,46.0,,,"[55.917054, 52.926812]"
323,Карасук,,134.0,,,"[78.04936, 53.731934]"
324,Карачев,,310.0,,,"[34.982805, 53.121594]"
325,Каргаполье,38.0,,,,"[64.434404, 55.952389]"
326,Каргат,5.0,,,,"[80.283012, 55.194486]"
327,Каргинская,,67.0,,,"[41.637632, 49.353477]"
328,Карпинск,96.0,89.0,,,"[60.001074, 59.766633]"
329,Карсун,,53.0,,,"[46.980766, 54.200786]"
330,Карталы,,512.0,,,"[60.639462, 53.053308]"
331,Касимов,96.0,166.0,62.0,,"[41.391368, 54.937288]"
332,Касли,,39.0,,,"[60.757411, 55.897337]"
333,Каспийск,133.0,395.0,,,"[47.635665, 42.890853]"
334,Катав-Ивановск,81.0,82.0,,,"[58.205836, 54.753513]"
335,Катайск,38.0,40.0,,,"[62.58365, 56.283235]"
336,Кашира,135.0,,,110.0,"[38.15154, 54.834589]"
337,Кез,60.0,,,,"[53.711933, 57.895539]"
338,Кемерово,4323.0,6879.0,,2149.0,"[86.086847, 55.355198]"
339,Кемля,,69.0,,,"[45.244063, 54.695216]"
340,Керчь,200.0,500.0,570.0,,"[36.467378, 45.356219]"
341,Кизел,40.0,39.0,,,"[57.653875, 59.04943]"
342,Кизильское,64.0,64.0,,,"[58.899641, 52.722801]"
343,Кизляр,111.0,276.0,,,"[46.710338, 43.850312]"
344,Кизнер,36.0,,,,"[51.50762, 56.286348]"
345,Ким,,81.0,,,"[54.612188, 53.897122]"
346,Кимры,,143.0,,61.0,"[37.358274, 56.872659]"
347,Кингисепп,,103.0,,,"[28.601209, 59.378053]"
348,Кинешма,,89.0,,,"[42.169525, 57.443126]"
349,Киренск,,,90.0,,"[108.110825, 57.775727]"
350,Киржач,83.0,82.0,,,"[38.871585, 56.161945]"
351,Кириши,96.0,137.0,,,"[32.008716, 59.449695]"
352,Киров,9188.0,7884.0,,4079.0,"[34.307999, 54.079614]"
353,Киров,9188.0,7884.0,,4079.0,"[49.668023, 58.603595]"
354,Кировград,33.0,30.0,,,"[60.062321, 57.431916]"
355,Кирово-Чепецк,61.0,68.0,,,"[50.043941, 58.556581]"
356,Кировск,81.0,242.0,,,"[30.981457, 59.87533]"
357,Кировск,81.0,242.0,,,"[33.668237, 67.61206]"
358,Кирс,22.0,25.0,,,"[52.241516, 59.339991]"
359,Киселевск,,159.0,,,"[86.636688, 54.006025]"
360,Кисловодск,134.0,139.0,,34.0,"[42.715718, 43.905518]"
361,Кичкасс,,65.0,,,"[54.407956, 52.31639]"
362,Клинцы,105.0,121.0,,,"[32.233852, 52.753143]"
363,Ковров,419.0,3004.0,,848.0,"[41.310933, 56.362506]"
364,Ковылкино,98.0,68.0,,,"[43.91505, 54.0379]"
365,Когалым,53.0,61.0,,,"[74.482761, 62.264069]"
366,Кодинск,54.0,51.0,,,"[99.179712, 58.603412]"
367,Кожевниково,,27.0,,,"[83.968862, 56.259493]"
368,Козулька,,33.0,,,"[91.391983, 56.165469]"
369,Козьмодемьянск,62.0,,,,"[46.547222, 56.332631]"
370,Коленово,21.0,,,,"[45.108156, 57.404768]"
371,Коломна,680.0,998.0,136.0,498.0,"[38.765556, 55.095956]"
372,Колышлей,,44.0,,,"[44.530944, 52.697617]"
373,Кольчугино,,87.0,,,"[39.376501, 56.293647]"
374,Коммунар,,74.0,,,"[30.393483, 59.621609]"
375,Коммунар,,74.0,,,"[37.738602, 51.850795]"
376,Комсомольск-на-Амуре,2650.0,2495.0,544.0,1435.0,"[137.008685, 50.550055]"
377,Комсомольский,56.0,56.0,,,"[45.827967, 54.440497]"
378,Конаково,130.0,51.0,,,"[36.779354, 56.713242]"
379,Константиновск,110.0,,,,"[41.096694, 47.577341]"
380,Копейск,144.0,207.0,,,"[61.611574, 55.115697]"
381,Копьево,45.0,,,,"[89.824063, 54.996061]"
382,Кораблино,,56.0,,,"[40.034463, 53.926817]"
383,Кореновск,216.0,213.0,,,"[39.448033, 45.462742]"
384,Коркино,103.0,214.0,,,"[61.393049, 54.892493]"
385,Королев,356.0,540.0,,,"[37.815211, 55.918953]"
386,Королёв,,1552.0,,3054.0,"[37.815211, 55.918953]"
387,Коряжма,58.0,59.0,,,"[47.159864, 61.315335]"
388,Костомукша,,85.0,,,"[30.596637, 64.587358]"
389,Кострома,1188.0,2410.0,,1029.0,"[40.926894, 57.767918]"
390,Котельнич,84.0,,,,"[48.346313, 58.305095]"
391,Котлас,118.0,120.0,157.0,,"[46.633226, 61.252975]"
392,Котовск,,61.0,,,"[41.50575, 52.59292]"
393,Кочубеевское,90.0,,,,"[41.82423, 44.690728]"
394,Кошурниково,74.0,,,,"[93.380709, 54.307836]"
395,Красная Пойма,106.0,92.0,,,"[39.081889, 55.003105]"
396,Красноармейск,,39.0,,,"[38.141578, 56.120342]"
397,Красноармейск,,39.0,,,"[45.695178, 51.023973]"
398,Красноармейское,,37.0,,,"[50.034823, 52.710292]"
399,Красноборск,,49.0,,,"[45.944111, 61.55949]"
400,Красновишерск,,10.0,,,"[57.083301, 60.412825]"
401,Красногвардейское,95.0,,,,"[39.589635, 45.143718]"
402,Красногвардейское,95.0,,,,"[34.294587, 45.494852]"
403,Красногорск,176.0,152.0,,,"[37.330399, 55.831003]"
404,Краснодар,21720.0,6248.0,,5076.0,"[38.975313, 45.03547]"
405,Красное Поле,79.0,78.0,,,"[40.693691, 44.894224]"
406,Краснокаменск,91.0,155.0,,73.0,"[118.034146, 50.098683]"
407,Краснокамск,111.0,108.0,,,"[55.736376, 58.078362]"
408,Красномайский,,98.0,,,"[34.414818, 57.62227]"
409,Краснотурьинск,,64.0,,,"[60.193574, 59.763534]"
410,Красноуральск,,53.0,,,"[60.038749, 58.356726]"
411,Красноуфимск,,147.0,,,"[57.770791, 56.617928]"
412,Красноярск,3292.0,8199.0,1080.0,8148.0,"[92.852572, 56.010569]"
413,Красные Баки,,24.0,,,"[45.166619, 57.127364]"
