prof_domain,type,speciality,code,code_group
Черная металлургия,ВПО,Специалист по сертификации,27.03.01,27
Черная металлургия,ВПО,Технолог,22.03.01,22
Черная металлургия,ВПО,Инженер по качеству,27.03.02,27
Химическая промышленность,СПО,"Оператор, аппаратчик",18.01.03,18
Химическая промышленность,СПО,"Оператор, аппаратчик",18.01.05,18
Химическая промышленность,СПО,"Оператор, аппаратчик",18.01.06,18
Химическая промышленность,СПО,"Оператор, аппаратчик",18.01.07,18
Химическая промышленность,СПО,"Оператор, аппаратчик",18.01.16,18
Химическая промышленность,СПО,"Оператор, аппаратчик",18.01.17,18
Химическая промышленность,СПО,"Оператор, аппаратчик",18.01.18,18
Химическая промышленность,СПО,Контролер ОТК,18.02.01,18
Химическая промышленность,СПО,Лаборант,18.01.01,18
Химическая промышленность,СПО,Лаборант,18.01.02,18
Химическая промышленность,СПО,Лаборант,18.02.03,18
Химическая промышленность,СПО,Лаборант,18.02.06,18
Химическая промышленность,ВПО,Исследователь,18.03.01,18
Химическая промышленность,ВПО,Специалист по сертификации,27.03.01,27
Химическая промышленность,ВПО,Инженер по качеству,27.03.02,27
Химическая промышленность,ВПО,Технолог,18.03.01,18
Химическая промышленность,ВПО,Технолог,18.03.02,18
Фармацевтика,СПО,"Оператор, аппаратчик",33.02.01,33
Фармацевтика,СПО,"Оператор, аппаратчик",18.01.05,18
Фармацевтика,СПО,"Оператор, аппаратчик",19.01.01,19
Фармацевтика,СПО,Лаборант,21.01.15,21
Фармацевтика,СПО,Лаборант,18.02.01,18
Фармацевтика,СПО,Лаборант,18.02.03,18
Фармацевтика,СПО,Лаборант,18.02.06,18
Фармацевтика,СПО,Лаборант,19.02.01,19
Фармацевтика,СПО,Лаборант,19.01.02,19
Фармацевтика,ВПО,Специалист по сертификации,27.03.01,27
Фармацевтика,ВПО,Технолог,33.05.01,33
Фармацевтика,ВПО,Технолог,18.03.01,18
Фармацевтика,ВПО,Технолог,04.03.01,04
Фармацевтика,ВПО,Технолог,06.03.01,06
Фармацевтика,ВПО,Инженер по качеству,27.03.02,27
Фармацевтика,ВПО,Исследователь,18.03.01,18
Фармацевтика,ВПО,Исследователь,04.03.01,04
Фармацевтика,ВПО,Исследователь,06.03.01,06
Фармацевтика,ВПО,Исследователь,33.05.01,33
Электроника и микроэлектроника,СПО,Механик,11.01.02,11
Электроника и микроэлектроника,СПО,Монтажник,11.01.01,11
Электроника и микроэлектроника,СПО,Монтажник,11.01.04,11
Электроника и микроэлектроника,СПО,Монтажник,11.02.01,11
Электроника и микроэлектроника,СПО,Контролер ОТК,18.02.01,18
Электроника и микроэлектроника,СПО,"Оператор, аппаратчик",11.01.09,11
Электроника и микроэлектроника,СПО,"Оператор, аппаратчик",11.01.10,11
Электроника и микроэлектроника,СПО,"Оператор, аппаратчик",15.01.01,15
Электроника и микроэлектроника,СПО,"Оператор, аппаратчик",15.02.02,15
Электроника и микроэлектроника,СПО,Сварщик,15.01.06,15
Электроника и микроэлектроника,СПО,Сварщик,15.01.07,15
Электроника и микроэлектроника,СПО,Электромонтажник,11.01.06,11
