city,postgraduates_per_100_students,citations_per_100_researchers,publications_per_100_researchers,rnd_volume,grants,coordinates
Электроизолятор,1138,92658.0,105406.0,21373.6,228.0,"[38.501137, 55.586237]"
Электросталь,0,0.0,0.0,78000.0,0.0,"[38.444858, 55.78445]"
Элиста,634,77364.0,61960.0,108258.4,1482.0,"[44.269759, 46.307743]"
Энгельс,0,0.0,0.0,139400.0,0.0,"[46.124052, 51.50105]"
Южно-Сахалинск,262,102564.0,29450.0,105200.0,1466.0,"[142.729587, 46.957771]"
Юрга,0,0.0,0.0,9914.0,0.0,"[84.933878, 55.713557]"
Яблоновский,0,0.0,0.0,2118.0,0.0,"[38.936362, 44.981285]"
Якутск,2114,424400.7,204328.0,914807.8,1514.0,"[129.732178, 62.027221]"
Ялта,566,0.0,0.0,0.0,0.0,"[34.169506, 44.497415]"
Ярославль,4156,477641.68,330476.0,817409.0,4026.0,"[39.893813, 57.626559]"
