,city,Авиастроение и космическая отрасль,Добыча нефти и газа,Добыча угля и металлических руд,Машиностроение,Судостроение,Фармацевтика,Химическая промышленность,Цветная металлургия,Черная металлургия,Электроника и микроэлектроника,coordinates
967,Тихменево,,119.82142857142857,98.03571428571428,,,2.1785714285714284,,,,,"[38.612043, 57.989723]"
968,Тихорецк,352.0,,,352.0,602.0,684.2142857142858,688.1428571428571,1008.7904761904762,986.2571428571429,890.9285714285714,"[40.123171, 45.852784]"
969,Тобольск,271.25,139.0,139.0,2170.0,540.25,2222.142857142857,1229.4285714285716,696.629761904762,686.4297619047619,228.1190476190476,"[68.253995, 58.200891]"
970,Тогул,,,,,,83.0,,,,,"[85.909664, 53.467482]"
971,Тогучин,8.0,68.75,56.25,64.0,8.0,1.25,,9.333333333333334,9.333333333333334,5.333333333333333,"[84.402874, 55.238018]"
972,Тольятти,2602.0,75.32142857142857,68.53571428571428,10645.0,9146.0,7469.75,5213.714285714285,5322.785714285714,5242.785714285714,7231.642857142857,"[49.420411, 53.507852]"
973,Томск,14126.75,19328.464285714286,17853.10714285714,35399.0,15927.75,41269.03571428571,27026.0,20824.50833333333,20599.908333333333,26265.333333333332,"[84.947649, 56.484645]"
974,Тоора-Хем,,133.57142857142856,109.28571428571428,,,2.4285714285714284,,,,,"[96.114651, 52.463513]"
975,Торбеево,24.0,,,192.0,24.0,98.0,,28.0,28.0,16.0,"[43.245958, 54.074511]"
976,Торжок,15.75,,,126.0,75.75,,,18.375,18.375,10.5,"[34.960149, 57.041338]"
977,Тосно,,,,,52.0,62.0,,93.33333333333334,90.0,,"[30.875006, 59.541179]"
978,Тотьма,,,,,103.0,90.0,,,,,"[42.758873, 59.973487]"
979,Трехгорный,20.5,,,164.0,101.5,,,23.916666666666668,23.916666666666668,189.66666666666666,"[58.44662, 54.814652]"
980,Троицк,15.5,199.0,199.0,124.0,76.5,834.0,,173.01666666666668,167.48333333333335,10.333333333333332,"[61.559004, 54.082757]"
981,Троицкое,,,,,87.0,,,,,,"[84.678325, 52.98211]"
982,Трубчевск,26.5,49.10714285714286,40.17857142857143,212.0,117.5,0.8928571428571428,,30.916666666666668,30.916666666666668,17.666666666666664,"[33.766082, 52.579083]"
983,Трудобеликовский,,,,,2.0,262.0,,,,,"[38.150516, 45.266193]"
984,Трусово,,27.5,22.5,,,0.5,,,,,"[47.952645, 46.346121]"
985,Туапсе,,984.6785714285714,971.4642857142857,,175.0,84.32142857142857,,,,,"[39.073382, 44.095245]"
986,Туймазы,28.75,,,230.0,154.75,950.4285714285714,204.28571428571428,256.4559523809524,249.0559523809524,27.023809523809522,"[53.694955, 54.600708]"
987,Тула,12294.25,6215.0,5085.0,4938.0,7919.25,11106.0,1480.0,4381.091666666667,4295.491666666667,6136.166666666666,"[37.617348, 54.193122]"
988,Тулун,18.0,,,144.0,93.0,,,21.0,21.0,12.0,"[100.578047, 54.55712]"
989,Тура,15.25,,,122.0,15.25,,,17.791666666666668,17.791666666666668,10.166666666666666,"[100.20778, 64.270386]"
990,Туринск,14.0,,,112.0,14.0,68.0,,16.333333333333336,16.333333333333336,9.333333333333332,"[63.690814, 58.052474]"
991,Туринская Слобода,13.75,,,110.0,13.75,,,16.041666666666668,16.041666666666668,9.166666666666666,"[64.387467, 57.618062]"
992,Тутаев,,,,,44.0,,,,,,"[39.530714, 57.8688]"
993,Тучково,11.0,,,88.0,11.0,,,12.833333333333334,12.833333333333334,7.333333333333333,"[36.47187, 55.600857]"
994,Тында,156.0,,,156.0,284.0,156.0,156.0,156.0,156.0,156.0,"[124.73644, 55.149666]"
995,Тюмень,6377.5,16956.142857142855,15067.571428571428,18113.0,10854.5,26161.5,10935.42857142857,11108.754761904762,10966.888095238095,7676.452380952381,"[65.541227, 57.152985]"
996,Тюнгюлю,,,,,,22.0,,,,,"[130.713201, 62.192133]"
997,Тяжинский,16.0,,,128.0,16.0,,,18.666666666666668,18.666666666666668,10.666666666666666,"[88.517194, 56.110731]"
998,Ува,,,,,117.0,127.0,,,,,"[52.18768, 56.982882]"
999,Уварово,14.5,133.57142857142856,109.28571428571428,116.0,89.5,2.4285714285714284,,16.916666666666668,16.916666666666668,9.666666666666666,"[42.261009, 51.983105]"
1000,Углич,28.25,,,226.0,28.25,36.0,,32.958333333333336,32.958333333333336,18.833333333333332,"[38.319372, 57.526597]"
1001,Удомля,19.0,,,152.0,19.0,78.0,,22.166666666666668,22.166666666666668,12.666666666666666,"[35.005739, 57.871648]"
1002,Узловая,391.5,,,605.0,499.5,361.0,361.0,396.5833333333333,396.5833333333333,381.3333333333333,"[38.160308, 53.97844]"
1003,Улан-Удэ,6335.0,9352.928571428572,8082.214285714285,6705.0,4899.0,8588.357142857143,2477.8571428571427,3202.0095238095237,3160.942857142857,9684.57142857143,"[107.584547, 51.834809]"
1004,Улькан,6.5,,,52.0,6.5,,,7.583333333333334,7.583333333333334,4.333333333333333,"[107.793846, 55.908555]"
1005,Ульяновск,10516.0,8930.75,7358.25,8806.0,7264.0,11105.25,2326.0,4643.0,4594.0,12216.0,"[48.403132, 54.314192]"
1006,Унеча,,,,,178.0,,,,,,"[32.670676, 52.845115]"
1007,Урай,25.0,184.64285714285714,151.07142857142856,200.0,25.0,3.3571428571428568,,199.03333333333336,192.96666666666667,16.666666666666664,"[64.803225, 60.128955]"
1008,Урень,,,,,,49.5,117.0,9.0,9.0,4.5,"[45.799536, 57.463042]"
1009,Уржум,,,,,,61.0,,,,,"[50.005726, 57.109738]"
1010,Урняк,,,,,72.0,73.0,,,,,"[50.003193, 56.233169]"
1011,Урюпинск,22.5,98.21428571428572,80.35714285714286,180.0,22.5,1.7857142857142856,,26.25,26.25,15.0,"[41.995593, 50.79451]"
1012,Усинск,24.75,2253.035714285714,1843.392857142857,198.0,108.75,40.964285714285715,,28.875000000000004,28.875000000000004,16.5,"[57.55701, 65.994148]"
1013,Усмань,,198.39285714285714,162.32142857142856,,109.0,267.6071428571429,,,,,"[39.736069, 52.043386]"
1014,Усогорск,,,,,28.0,,,,,,"[48.7067, 63.429314]"
1015,Усолье-Сибирское,38.5,,,308.0,38.5,436.0,130.0,196.78333333333336,191.71666666666667,30.666666666666664,"[103.637332, 52.757095]"
1016,Успенское,,,,,72.0,,,,,,"[41.392473, 44.830917]"
1017,Уссурийск,383.25,1553.75,1271.25,903.0,1137.25,461.25,309.0,395.625,395.625,358.5,"[131.952122, 43.797247]"
1018,Усть-Илимск,15.0,,,120.0,15.0,66.0,,17.5,17.5,10.0,"[102.733519, 57.942686]"
1019,Усть-Камчатск,2.5,,,20.0,2.5,,,2.916666666666667,2.916666666666667,1.6666666666666665,"[162.536137, 56.239683]"
1020,Усть-Катав,20.75,,,166.0,20.75,,,24.208333333333336,24.208333333333336,13.833333333333332,"[58.174709, 54.930289]"
1021,Усть-Кинельский,,58.92857142857143,48.21428571428571,,,1.0714285714285714,,,,,"[50.56791, 53.265768]"
1022,Усть-Кут,,,,,868.0,,,,,,"[105.74539, 56.780882]"
